Name,Family,Genus,Common_Name
Brassica juncea,Brassicaceae,Brassica,"Brown Mustard,Indian Mustard"
Brugmansia arborea,Solanaceae,Brugmansia,Angel's Trumpet
Brunnera macrophylla,Boraginaceae,Brunnera,Siberian Bugloss
Bunias orientalis,Brassicaceae,Bunias,Turkish Rocket
Bupleurum rotundifolium,Apiaceae,Bupleurum,Hare's Ear
Cakile maritima,Brassicaceae,Cakile,Sea Rocket
Calandrinia grandiflora,Montiaceae,Calandrinia,Rock Purslane
Calceolaria integrifolia,Calceolariaceae,Calceolaria,Bush Slipperwort
Callicarpa bodinieri,Lamiaceae,Callicarpa,Bodinier's Beautyberry
Callirhoe involucrata,Malvaceae,Callirhoe,Purple Poppy-mallow
Calophanes oblongifolia,Acanthaceae,Calophanes,Oblong-leaved Calophanes
Calycanthus floridus,Calycanthaceae,Calycanthus,Carolina Allspice
Calystegia soldanella,Convolvulaceae,Calystegia,Sea Bindweed
Campanula medium,Campanulaceae,Campanula,Canterbury Bells
Campanula rotundifolia,Campanulaceae,Campanula,Harebell
Campsis grandiflora,Bignoniaceae,Campsis,Chinese Trumpet Vine
Canavalia ensiformis,Fabaceae,Canavalia,Jack Bean
Capsicum pubescens,Solanaceae,Capsicum,"Rocoto,Manzano Pepper"
Cardamine hirsuta,Brassicaceae,Cardamine,Hairy Bittercress
Cardaria draba,Brassicaceae,Cardaria,Hoary Cress
Cardiospermum grandiflorum,Sapindaceae,Cardiospermum,Showy Balloon Vine
Carlina acaulis,Asteraceae,Carlina,Stemless Carline Thistle
Carum verticillatum,Apiaceae,Carum,Whorled Caraway
Cassiope tetragona,Ericaceae,Cassiope,Arctic White Heather
Castilleja coccinea,Orobanchaceae,Castilleja,Indian Paintbrush
Catalpa speciosa,Bignoniaceae,Catalpa,Northern Catalpa
Catananche caerulea,Asteraceae,Catananche,Cupid's Dart
Ceanothus americanus,Rhamnaceae,Ceanothus,New Jersey Tea
Celastrus orbiculatus,Celastraceae,Celastrus,Oriental Bittersweet
Celosia cristata,Amaranthaceae,Celosia,Crested Cockscomb
Celtis laevigata,Cannabaceae,Celtis,Sugarberry
Centaurea jacea,Asteraceae,Centaurea,Brown Knapweed
Centaurea macrocephala,Asteraceae,Centaurea,Giant Knapweed
Centaurea montana,Asteraceae,Centaurea,Mountain Cornflower
Centaurium pulchellum,Gentianaceae,Centaurium,Lesser Centaury
Centella asiatica,Apiaceae,Centella,"Gotu Kola,Asiatic Pennywort"
Cerastium arvense,Caryophyllaceae,Cerastium,Field Chickweed
Ceratotheca triloba,Pedaliaceae,Ceratotheca,South African Foxglove
Cercidiphyllum japonicum,Cercidiphyllaceae,Cercidiphyllum,Katsura Tree
Cercis siliquastrum,Fabaceae,Cercis,Judas Tree
Cestrum nocturnum,Solanaceae,Cestrum,Night-blooming Jasmine
Chamaecrista fasciculata,Fabaceae,Chamaecrista,Partridge Pea
Chamaedaphne calyculata,Ericaceae,Chamaedaphne,Leatherleaf
Chamaemelum nobile,Asteraceae,Chamaemelum,Roman Chamomile
Chamerion angustifolium,Onagraceae,Chamerion,Fireweed
Chelone glabra,Plantaginaceae,Chelone,White Turtlehead
Chenopodium bonus-henricus,Amaranthaceae,Chenopodium,Good-King-Henry
Chiliotrichum diffusum,Asteraceae,Chiliotrichum,Fachine
Chimaphila maculata,Ericaceae,Chimaphila,Spotted Wintergreen
Chimonanthus praecox,Calycanthaceae,Chimonanthus,Wintersweet
Chiococca alba,Rubiaceae,Chiococca,Snowberry
Chionanthus retusus,Oleaceae,Chionanthus,Chinese Fringetree
Chrysanthemum coronarium,Asteraceae,Chrysanthemum,"Crown Daisy,Garland Chrysanthemum"
Chrysocephalum apiculatum,Asteraceae,Chrysocephalum,Common Everlasting
Chrysosplenium alternifolium,Saxifragaceae,Chrysosplenium,Alternate-leaved Golden-saxifrage
Cicerbita alpina,Asteraceae,Cicerbita,Alpine Sow-thistle
Cicuta maculata,Apiaceae,Cicuta,Spotted Water Hemlock
Circaea lutetiana,Onagraceae,Circaea,Enchanter's-nightshade
Cirsium arvense,Asteraceae,Cirsium,Creeping Thistle
Cistus albidus,Cistaceae,Cistus,White-leaved Rockrose
Cladanthus arabicus,Asteraceae,Cladanthus,Arabian Daisy
Clarkia unguiculata,Onagraceae,Clarkia,Elegant Clarkia
Clematis alpina,Ranunculaceae,Clematis,Alpine Clematis
Cleome hassleriana,Cleomaceae,Cleome,Spider Flower
Clerodendrum bungei,Lamiaceae,Clerodendrum,Rose Glory Bower
Clethra arborea,Clethraceae,Clethra,Lily-of-the-valley-tree
Clianthus puniceus,Fabaceae,Clianthus,"Kaka Beak,Parrot's Beak"
Clitoria ternatea,Fabaceae,Clitoria,"Butterfly Pea,Blue Pea"
Clytostoma callistegioides,Bignoniaceae,Clytostoma,Argentine Trumpet Vine
Cobaea scandens,Polemoniaceae,Cobaea,Cup-and-saucer Vine
Cocculus laurifolius,Menispermaceae,Cocculus,Laurel-leaf Snailseed
Codonopsis pilosula,Campanulaceae,Codonopsis,Dangshen
Collinsia heterophylla,Plantaginaceae,Collinsia,Chinese Houses
Collomia grandiflora,Polemoniaceae,Collomia,Large-flowered Collomia
Colutea arborescens,Fabaceae,Colutea,Bladder Senna
Comandra umbellata,Santalaceae,Comandra,Bastard Toadflax
Commicarpus scandens,Nyctaginaceae,Commicarpus,Climbing Wart-club
Comptonia peregrina,Myricaceae,Comptonia,Sweetfern
Conopholis americana,Orobanchaceae,Conopholis,American Cancer-root
Conringia orientalis,Brassicaceae,Conringia,Hare's-ear Mustard
Convolvulus cneorum,Convolvulaceae,Convolvulus,Silver-bush
Coprosma lucida,Rubiaceae,Coprosma,Shining Karamu
Coptis trifolia,Ranunculaceae,Coptis,Threeleaf Goldthread
Corchorus capsularis,Malvaceae,Corchorus,White Jute
Coreopsis lanceolata,Asteraceae,Coreopsis,Lance-leaved Coreopsis
Coriaria myrtifolia,Coriariaceae,Coriaria,Redoul
Cornus alternifolia,Cornaceae,Cornus,Pagoda Dogwood
Cornus canadensis,Cornaceae,Cornus,Bunchberry Dogwood
Coronilla emerus,Fabaceae,Coronilla,Scorpion Senna
Coronopus didymus,Brassicaceae,Coronopus,Lesser Swine-cress
Correa alba,Rutaceae,Correa,White Correa
Cortusa matthioli,Primulaceae,Cortusa,Alpine Bells
Corydalis solida,Papaveraceae,Corydalis,Fumewort
Cosmos sulphureus,Asteraceae,Cosmos,Sulphur Cosmos
Cotoneaster horizontalis,Rosaceae,Cotoneaster,Rockspray Cotoneaster
Cotula coronopifolia,Asteraceae,Cotula,Brassbuttons
Crambe cordifolia,Brassicaceae,Crambe,Greater Sea-kale
Crassula muscosa,Crassulaceae,Crassula,"Watch Chain,Princess Pine"
Crataegus laevigata,Rosaceae,Crataegus,Midland Hawthorn
Crepis biennis,Asteraceae,Crepis,Rough Hawk's-beard
Crinodendron hookerianum,Elaeocarpaceae,Crinodendron,Chilean Lantern Tree
Crossandra infundibuliformis,Acanthaceae,Crossandra,Firecracker Flower
Crotalaria juncea,Fabaceae,Crotalaria,Sunn Hemp
Croton tiglium,Euphorbiaceae,Croton,Purging Croton
Cruciata laevipes,Rubiaceae,Cruciata,Crosswort
Cryptotaenia japonica,Apiaceae,Cryptotaenia,"Mitsuba,Japanese Parsley"
Cudrania tricuspidata,Moraceae,Cudrania,"Che,Chinese Mulberry"
Cunila origanoides,Lamiaceae,Cunila,"American Dittany,Stone Mint"
Cuphea ignea,Lythraceae,Cuphea,Cigar Plant
Cyananthus microphyllus,Campanulaceae,Cyananthus,Trailing Bellflower
Cyclamen persicum,Primulaceae,Cyclamen,Florist's Cyclamen
Cymbalaria muralis,Plantaginaceae,Cymbalaria,Ivy-leaved Toadflax
Cynanchum acutum,Apocynaceae,Cynanchum,Montpellier Scamony
Cynara scolymus,Asteraceae,Cynara,Globe Artichoke
Cynoglossum officinale,Boraginaceae,Cynoglossum,Hound's-tongue
Cytinus hypocistis,Cytinaceae,Cytinus,Yellow Cytinus
Daboecia cantabrica,Ericaceae,Daboecia,St. Dabeoc's Heath
Dalechampia roezliana,Euphorbiaceae,Dalechampia,Costa Rican Butterfly Vine
Daphne laureola,Thymelaeaceae,Daphne,Spurge-laurel
Daphniphyllum macropodum,Daphniphyllaceae,Daphniphyllum,Red-budded Daphniphyllum
Datura innoxia,Solanaceae,Datura,"Thorn-apple,Downy Thorn-apple"
Decaisnea fargesii,Lardizabalaceae,Decaisnea,Blue Bean Tree
Decumaria barbara,Hydrangeaceae,Decumaria,Climbing Hydrangea
Delosperma cooperi,Aizoaceae,Delosperma,Hardy Ice Plant
Dendromecon rigida,Papaveraceae,Dendromecon,Bush Poppy
Descurainia pinnata,Brassicaceae,Descurainia,Tansy Mustard
Desmanthus illinoensis,Fabaceae,Desmanthus,Illinois Bundleflower
Desmodium canadense,Fabaceae,Desmodium,Showy Tick-trefoil
Dianthus deltoides,Caryophyllaceae,Dianthus,Maiden Pink
Dicentra cucullaria,Papaveraceae,Dicentra,Dutchman's Breeches
Dichondra argentea,Convolvulaceae,Dichondra,Silver Falls
Diervilla lonicera,Caprifoliaceae,Diervilla,Northern Bush Honeysuckle
Digitalis grandiflora,Plantaginaceae,Digitalis,Large Yellow Foxglove
Dimorphotheca pluvialis,Asteraceae,Dimorphotheca,White African Daisy
Diodia teres,Rubiaceae,Diodia,"Poorjoe,Rough Buttonweed"
Dionaea muscipula,Droseraceae,Dionaea,Venus Flytrap
Diospyros discolor,Ebenaceae,Diospyros,"Velvet Apple,Mabolo"
Diospyros nigra,Ebenaceae,Diospyros,Black Sapote
Diphylleia cymosa,Berberidaceae,Diphylleia,Umbrella Leaf
Dipsacus sativus,Caprifoliaceae,Dipsacus,Indian Teasel
Discaria toumatou,Rhamnaceae,Discaria,"Matagouri,Wild Irishman"
Dodartia orientalis,Mazaceae,Dodartia,Oriental Dodartia
Dodecatheon meadia,Primulaceae,Dodecatheon,Shooting Star
Dolichos lablab,Fabaceae,Dolichos,Hyacinth Bean
Doronicum orientale,Asteraceae,Doronicum,Leopard's Bane
Dorstenia contrajerva,Moraceae,Dorstenia,Contrayerba
Dracocephalum moldavica,Lamiaceae,Dracocephalum,Moldavian Dragonhead
Dracunculus vulgaris,Araceae,Dracunculus,Dragon Arum
Drosera rotundifolia,Droseraceae,Drosera,Round-leaved Sundew
Dryas octopetala,Rosaceae,Dryas,Mountain Avens
Duchesnea indica,Rosaceae,Duchesnea,Mock Strawberry
Dyschoriste oblongifolia,Acanthaceae,Dyschoriste,Oblongleaf Twinflower
Eccremocarpus scaber,Bignoniaceae,Eccremocarpus,Chilean Glory-flower
Echinacea angustifolia,Asteraceae,Echinacea,Narrow-leaved Purple Coneflower
Echinops ritro,Asteraceae,Echinops,Southern Globethistle
Echium plantagineum,Boraginaceae,Echium,"Purple Viper's-bugloss,Paterson's Curse"
Eclipta prostrata,Asteraceae,Eclipta,"False Daisy,Bhringraj"
Edraianthus graminifolius,Campanulaceae,Edraianthus,Grassy Bells
Ehretia anacua,Boraginaceae,Ehretia,"Anacua,Knockaway"
Elaeagnus angustifolia,Elaeagnaceae,Elaeagnus,Russian Olive
Elaeagnus umbellata,Elaeagnaceae,Elaeagnus,Autumn Olive
Eleutherococcus senticosus,Araliaceae,Eleutherococcus,Siberian Ginseng
Embelia ribes,Primulaceae,Embelia,False Black Pepper
Emmenanthe penduliflora,Boraginaceae,Emmenanthe,Whispering Bells
Encelia farinosa,Asteraceae,Encelia,Brittlebush
Enkianthus campanulatus,Ericaceae,Enkianthus,Redvein Enkianthus
Epigaea repens,Ericaceae,Epigaea,"Trailing Arbutus,Mayflower"
Epilobium hirsutum,Onagraceae,Epilobium,Great Willowherb
Epimedium alpinum,Berberidaceae,Epimedium,Alpine barrenwort
Erechtites hieraciifolius,Asteraceae,Erechtites,"American Burnweed,Fireweed"
Eremophila maculata,Scrophulariaceae,Eremophila,Spotted Emu Bush
Erica cinerea,Ericaceae,Erica,Bell Heather
Erigeron annuus,Asteraceae,Erigeron,Annual Fleabane
Erinus alpinus,Plantaginaceae,Erinus,Alpine Balsam
Eriodictyon californicum,Boraginaceae,Eriodictyon,Yerba Santa
Eriogonum fasciculatum,Polygonaceae,Eriogonum,California Buckwheat
Eriophyllum lanatum,Asteraceae,Eriophyllum,"Woolly Sunflower,Oregon Sunshine"
Erodium moschatum,Geraniaceae,Erodium,Musky Stork's-bill
Eryngium foetidum,Apiaceae,Eryngium,"Culantro,Mexican Coriander"
Erysimum anicum,Brassicaceae,Erysimum,Wallflower
Erythrina herbacea,Fabaceae,Erythrina,Coralbean
Escallonia rubra,Escalloniaceae,Escallonia,Red Escallonia
Eschscholzia caespitosa,Papaveraceae,Eschscholzia,Tufted Poppy
Eucalyptus camaldulensis,Myrtaceae,Eucalyptus,River Red Gum
Eucalyptus deglupta,Myrtaceae,Eucalyptus,Rainbow Eucalyptus
Eucommia ulmoides,Eucommiaceae,Eucommia,Hardy Rubber Tree
Eucryphia lucida,Cunoniaceae,Eucryphia,Leatherwood
Eugenia uniflora,Myrtaceae,Eugenia,"Surinam Cherry,Pitanga"
Euonymus fortunei,Celastraceae,Euonymus,Wintercreeper
Eupatorium cannabinum,Asteraceae,Eupatorium,Hemp-agrimony
Eupatorium perfoliatum,Asteraceae,Eupatorium,Boneset
Euphorbia amygdaloides,Euphorbiaceae,Euphorbia,Wood Spurge
Euphorbia characias,Euphorbiaceae,Euphorbia,Mediterranean Spurge
Euphorbia cyparissias,Euphorbiaceae,Euphorbia,Cypress Spurge
Euphorbia esula,Euphorbiaceae,Euphorbia,Leafy Spurge
Euphorbia helioscopia,Euphorbiaceae,Euphorbia,Sun Spurge
Euphorbia lathyris,Euphorbiaceae,Euphorbia,"Caper Spurge,Mole Plant"
Euphorbia marginata,Euphorbiaceae,Euphorbia,Snow-on-the-mountain
Euphorbia peplus,Euphorbiaceae,Euphorbia,Petty Spurge
Euphrasia nemorosa,Orobanchaceae,Euphrasia,Common Eyebright
Euryops pectinatus,Asteraceae,Euryops,Grey-leaved Euryops
Eutrochium maculatum,Asteraceae,Eutrochium,Spotted Joe-Pye Weed
Evolvulus glomeratus,Convolvulaceae,Evolvulus,Blue Daze
Exacum affine,Gentianaceae,Exacum,Persian Violet
Exochorda racemosa,Rosaceae,Exochorda,Pearlbush
Fagonia cretica,Zygophyllaceae,Fagonia,Cretan Fagonia
Fagus orientalis,Fagaceae,Fagus,Oriental Beech
Fallopia baldschuanica,Polygonaceae,Fallopia,"Russian Vine,Mile-a-minute Vine"
Fallopia convolvulus,Polygonaceae,Fallopia,Black-bindweed
Fatsia japonica,Araliaceae,Fatsia,Japanese Aralia
Felicia amelloides,Asteraceae,Felicia,Blue Daisy
Ferula communis,Apiaceae,Ferula,Giant Fennel
Ficaria verna,Ranunculaceae,Ficaria,Lesser Celandine
Ficus auriculata,Moraceae,Ficus,"Roxburgh fig,Elephant Ear Fig"
Ficus macrophylla,Moraceae,Ficus,Moreton Bay Fig
Ficus religiosa,Moraceae,Ficus,"Sacred Fig,Bodhi Tree"
Filipendula rubra,Rosaceae,Filipendula,Queen of the Prairie
Forestiera acuminata,Oleaceae,Forestiera,Swamp Privet
Forsythia suspensa,Oleaceae,Forsythia,Weeping Forsythia
Fothergilla gardenii,Hamamelidaceae,Fothergilla,Dwarf Fothergilla
Fragaria vesca,Rosaceae,Fragaria,"Wild Strawberry,Alpine Strawberry"
Francoa sonchifolia,Francoaceae,Francoa,Bridal Wreath
Frangula alnus,Rhamnaceae,Frangula,Alder Buckthorn
Frasera speciosa,Gentianaceae,Frasera,"Monument Plant,Green Gentian"
Fraxinus ornus,Oleaceae,Fraxinus,Manna Ash
Fremontodendron californicum,Malvaceae,Fremontodendron,California Flannelbush
Fuchsia boliviana,Onagraceae,Fuchsia,Bolivian Fuchsia
Fumana procumbens,Cistaceae,Fumana,Sprawling Needle Sunrose
Gaillardia aristata,Asteraceae,Gaillardia,"Common Gaillardia,Blanketflower"
Galax urceolata,Diapensiaceae,Galax,"Beetleweed,Wandflower"
Galega officinalis,Fabaceae,Galega,Goat's Rue
Galinsoga quadriradiata,Asteraceae,Galinsoga,Shaggy Soldier
Galium mollugo,Rubiaceae,Galium,Hedge Bedstraw
Galium verum,Rubiaceae,Galium,Lady's Bedstraw
Gardenia thunbergia,Rubiaceae,Gardenia,"White Gardenia,Forest Gardenia"
Gaultheria shallon,Ericaceae,Gaultheria,Salal
Gazania rigens,Asteraceae,Gazania,Treasure Flower
Genista tinctoria,Fabaceae,Genista,Dyer's Greenweed
Gentiana verna,Gentianaceae,Gentiana,Spring Gentian
Gentianella amarella,Gentianaceae,Gentianella,Autumn Gentian
Geranium maderense,Geraniaceae,Geranium,Giant Herb-Robert
Geranium pratense,Geraniaceae,Geranium,Meadow Crane's-bill
Geranium robertianum,Geraniaceae,Geranium,Herb-Robert
Geranium tuberosum,Geraniaceae,Geranium,Tuberous Crane's-bill
Geum rivale,Rosaceae,Geum,Water Avens
Gilia tricolor,Polemoniaceae,Gilia,Bird's-eyes
Glaucium flavum,Papaveraceae,Glaucium,Yellow Horned-poppy
Glechoma hederacea,Lamiaceae,Glechoma,"Ground-ivy,Creeping Charlie"
Globularia cordifolia,Plantaginaceae,Globularia,Heart-leaved Globe Daisy
Gomphocarpus physocarpus,Apocynaceae,Gomphocarpus,"Hairy Balls,Balloon Plant"
Gomphrena haageana,Amaranthaceae,Gomphrena,Strawberry Fields Globe Amaranth
Goodenia ovata,Goodeniaceae,Goodenia,Hop Goodenia
Gossypium arboreum,Malvaceae,Gossypium,Tree Cotton
Gratiola officinalis,Plantaginaceae,Gratiola,Hedge Hyssop
Grevillea banksii,Proteaceae,Grevillea,Red Silky Oak
Grewia asiatica,Malvaceae,Grewia,Phalsa
Grindelia camporum,Asteraceae,Grindelia,Great Valley Gumplant
Griselinia littoralis,Griseliniaceae,Griselinia,"Kapuka,New Zealand Broadleaf"
Gunnera tinctoria,Gunneraceae,Gunnera,Giant Rhubarb
Gymnocladus dioicus,Fabaceae,Gymnocladus,Kentucky Coffeetree
Gypsophila elegans,Caryophyllaceae,Gypsophila,Annual Baby's-breath
Hakea salicifolia,Proteaceae,Hakea,Willow-leaved Hakea
Halenia deflexa,Gentianaceae,Halenia,Spurred Gentian
Halesia tetraptera,Styracaceae,Halesia,Mountain Silverbell
Halimione portulacoides,Amaranthaceae,Halimione,Sea Purslane
Hamamelis mollis,Hamamelidaceae,Hamamelis,Chinese Witch-hazel
Hardenbergia violacea,Fabaceae,Hardenbergia,"False Sarsaparilla,Purple Coral Pea"
Hebe albicans,Plantaginaceae,Hebe,White Hebe
Hedera helix,Araliaceae,Hedera,"Common Ivy,English Ivy"
Hedysarum coronarium,Fabaceae,Hedysarum,Italian Sainfoin
Helenium autumnale,Asteraceae,Helenium,Sneezeweed
Helianthemum apenninum,Cistaceae,Helianthemum,White Rockrose
Helianthus decapetalus,Asteraceae,Helianthus,Thin-leaved Sunflower
Helichrysum petiolare,Asteraceae,Helichrysum,Licorice Plant
Heliopsis helianthoides,Asteraceae,Heliopsis,False Sunflower
Heliotropium arborescens,Boraginaceae,Heliotropium,"Heliotrope,Cherry Pie"
Helleborus foetidus,Ranunculaceae,Helleborus,Stinking Hellebore
Hepatica nobilis,Ranunculaceae,Hepatica,Liverwort
Heracleum mantegazzianum,Apiaceae,Heracleum,Giant Hogweed
Herniaria glabra,Caryophyllaceae,Herniaria,Rupturewort
Heteromeles arbutifolia,Rosaceae,Heteromeles,"Toyon,Christmas Berry"
Hibbertia scandens,Dilleniaceae,Hibbertia,"Snake Vine,Golden Guinea Vine"
Hibiscus trionum,Malvaceae,Hibiscus,Flower-of-an-hour
Hieracium aurantiacum,Asteraceae,Hieracium,Orange Hawkweed
Hieracium pilosella,Asteraceae,Hieracium,Mouse-ear Hawkweed
Hippocrepis comosa,Fabaceae,Hippocrepis,Horseshoe Vetch
Hippophae rhamnoides,Elaeagnaceae,Hippophae,Sea Buckthorn
Holodiscus discolor,Rosaceae,Holodiscus,"Oceanspray,Creambush"
Hovenia dulcis,Rhamnaceae,Hovenia,Japanese Raisin Tree
Hudsonia tomentosa,Cistaceae,Hudsonia,Woolly Beachheather
Hunnemannia fumariifolia,Papaveraceae,Hunnemannia,"Tulip Poppy,Mexican Tulip Poppy"
Hybanthus concolor,Violaceae,Hybanthus,Green Violet
Hydrocotyle vulgaris,Araliaceae,Hydrocotyle,Marsh Pennywort
Hydrophyllum virginianum,Boraginaceae,Hydrophyllum,Virginia Waterleaf
Hymenoxys grandiflora,Asteraceae,Hymenoxys,Old-man-of-the-mountains
Hyoscyamus albus,Solanaceae,Hyoscyamus,White Henbane
Hypericum androsaemum,Hypericaceae,Hypericum,Tutsan
Hypericum pulchrum,Hypericaceae,Hypericum,Slender St John's-wort
Hypochaeris radicata,Asteraceae,Hypochaeris,Cat's-ear
Iberis umbellata,Brassicaceae,Iberis,Globe Candytuft
Ilex verticillata,Aquifoliaceae,Ilex,Winterberry
Illicium verum,Schisandraceae,Illicium,Star Anise
Impatiens balsamina,Balsaminaceae,Impatiens,Garden Balsam
Impatiens capensis,Balsaminaceae,Impatiens,"Jewelweed,Spotted Touch-me-not"
Impatiens glandulifera,Balsaminaceae,Impatiens,Himalayan Balsam
Incarvillea delavayi,Bignoniaceae,Incarvillea,Hardy Gloxinia
Inula helenium,Asteraceae,Inula,Elecampane
Iochroma cyaneum,Solanaceae,Iochroma,Violet Tubeflower
Ipomopsis rubra,Polemoniaceae,Ipomopsis,Standing Cypress
Iresine herbstii,Amaranthaceae,Iresine,Bloodleaf
Isodon longitubus,Lamiaceae,Isodon,Long-tubed Isodon
Itea virginica,Iteaceae,Itea,Virginia Sweetspire
Iva frutescens,Asteraceae,Iva,Marsh Elder
Jasione montana,Campanulaceae,Jasione,Sheep's-bit
Jasminum nudiflorum,Oleaceae,Jasminum,Winter Jasmine
Jeffersonia diphylla,Berberidaceae,Jeffersonia,Twinleaf
Jovellana violacea,Calceolariaceae,Jovellana,Violet Teacup Flower
Juanulloa aurantiaca,Solanaceae,Juanulloa,Gold-finger Plant
Juglans cinerea,Juglandaceae,Juglans,"Butternut,White Walnut"
Justicia adhatoda,Acanthaceae,Justicia,Malabar nut
Kadsura japonica,Schisandraceae,Kadsura,Kadsura Vine
Kalmia angustifolia,Ericaceae,Kalmia,Sheep Laurel
Kalopanax septemlobus,Araliaceae,Kalopanax,Castor aralia
Kennedia rubicunda,Fabaceae,Kennedia,Dusky Coral Pea
Kirengeshoma palmata,Hydrangeaceae,Kirengeshoma,Yellow Wax-bells
Kitaibela vitifolia,Malvaceae,Kitaibela,Grape-leaved Mallow
Kleinia neriifolia,Asteraceae,Kleinia,"Verode,Canary Islands Candle Plant"
Kosteletzkya virginica,Malvaceae,Kosteletzkya,Seashore Mallow
Krameria lappacea,Krameriaceae,Krameria,Rhatany
Lablab purpureus,Fabaceae,Lablab,Hyacinth Bean
Laburnum anagyroides,Fabaceae,Laburnum,Golden Chain Tree
Lactuca virosa,Asteraceae,Lactuca,"Wild Lettuce,Opium Lettuce"
Lagunaria patersonia,Malvaceae,Lagunaria,Norfolk Island Hibiscus
Lamium maculatum,Lamiaceae,Lamium,Spotted Dead-nettle
Lapsana communis,Asteraceae,Lapsana,Nipplewort
Lardizabala biternata,Lardizabalaceae,Lardizabala,Zabala fruit
Larrea tridentata,Zygophyllaceae,Larrea,Creosote Bush
Lathraea squamaria,Orobanchaceae,Lathraea,Common Toothwort
Lathyrus latifolius,Fabaceae,Lathyrus,Everlasting Pea
Lathyrus pratensis,Fabaceae,Lathyrus,Meadow Vetchling
Laurus azorica,Lauraceae,Laurus,Azores Laurel
Lavandula stoechas,Lamiaceae,Lavandula,"French Lavender,Spanish Lavender"
Lavatera arborea,Malvaceae,Lavatera,Tree Mallow
Layia platyglossa,Asteraceae,Layia,Tidytips
Ledum palustre,Ericaceae,Ledum,Marsh Labrador Tea
Leitneria floridana,Simaroubaceae,Leitneria,Corkwood
Leonotis leonurus,Lamiaceae,Leonotis,"Lion's Tail,Wild Dagga"
Leontodon hispidus,Asteraceae,Leontodon,Rough Hawkbit
Leonurus cardiaca,Lamiaceae,Leonurus,Motherwort
Lepidium meyenii,Brassicaceae,Lepidium,Maca
Leptosiphon grandiflorus,Polemoniaceae,Leptosiphon,Large-flowered Linanthus
Lespedeza cuneata,Fabaceae,Lespedeza,Chinese Bushclover
Leucanthemum × superbum,Asteraceae,Leucanthemum,Shasta Daisy
Leucophyllum frutescens,Scrophulariaceae,Leucophyllum,"Texas Sage,Cenizo"
Leucosceptrum canum,Lamiaceae,Leucosceptrum,Himalayan Mint Shrub
Leucothoe fontanesiana,Ericaceae,Leucothoe,Drooping Leucothoe
Lewisia cotyledon,Montiaceae,Lewisia,Siskiyou Lewisia
Leycesteria formosa,Caprifoliaceae,Leycesteria,Himalayan Honeysuckle
Liatris spicata,Asteraceae,Liatris,"Blazing Star,Gayfeather"
Ligularia dentata,Asteraceae,Ligularia,Leopard Plant
Ligustrum ovalifolium,Oleaceae,Ligustrum,California Privet
Limnanthes douglasii,Limnanthaceae,Limnanthes,Douglas's Meadowfoam
Limonium sinuatum,Plumbaginaceae,Limonium,"Wavyleaf Sea-lavender,Statice"
Linaria maroccana,Plantaginaceae,Linaria,Moroccan Toadflax
Lindera umbellata,Lauraceae,Lindera,Japanese Spicebush
Linnaea borealis,Caprifoliaceae,Linnaea,Twinflower
Linum perenne,Linaceae,Linum,Perennial Flax
Lippia dulcis,Verbenaceae,Lippia,Aztec Sweet Herb
Liriodendron chinense,Magnoliaceae,Liriodendron,Chinese Tulip Tree
Lithodora diffusa,Boraginaceae,Lithodora,Purple Gromwell
Lithospermum officinale,Boraginaceae,Lithospermum,Common Gromwell
Lobelia cardinalis,Campanulaceae,Lobelia,Cardinal Flower
Lobelia erinus,Campanulaceae,Lobelia,Edging Lobelia
Lomatium dissectum,Apiaceae,Lomatium,Fernleaf Biscuitroot
Lonicera japonica,Caprifoliaceae,Lonicera,Japanese Honeysuckle
Lophospermum erubescens,Plantaginaceae,Lophospermum,Creeping Gloxinia
Lotus tetragonolobus,Fabaceae,Lotus,Asparagus Pea
Ludwigia peruviana,Onagraceae,Ludwigia,Peruvian Primrose-willow
Luffa aegyptiaca,Cucurbitaceae,Luffa,"Loofah,Sponge Gourd"
Lunaria rediviva,Brassicaceae,Lunaria,Perennial Honesty
Lupinus arboreus,Fabaceae,Lupinus,Yellow Bush Lupin
Lupinus polyphyllus,Fabaceae,Lupinus,Garden Lupin
Lychnis chalcedonica,Caryophyllaceae,Lychnis,Maltese Cross
Lycium chinense,Solanaceae,Lycium,Chinese Wolfberry
Lycopus europaeus,Lamiaceae,Lycopus,"Gypsywort,Bugleweed"
Lyonia ligustrina,Ericaceae,Lyonia,Maleberry
Lysimachia clethroides,Primulaceae,Lysimachia,Gooseneck Loosestrife
Lysimachia nummularia,Primulaceae,Lysimachia,"Creeping Jenny,Moneywort"
Lysimachia punctata,Primulaceae,Lysimachia,Dotted Loosestrife
Lythrum hyssopifolia,Lythraceae,Lythrum,Hyssop Loosestrife
Machaeranthera tanacetifolia,Asteraceae,Machaeranthera,Tansy-aster
Macleania insignis,Ericaceae,Macleania,Scarlet Macleania
Maclura tricuspidata,Moraceae,Maclura,Che
Madia sativa,Asteraceae,Madia,Chilean Tarweed
Magnolia acuminata,Magnoliaceae,Magnolia,Cucumber Tree
Magnolia sieboldii,Magnoliaceae,Magnolia,Oyama Magnolia
Magnolia virginiana,Magnoliaceae,Magnolia,Sweetbay Magnolia
Mahonia bealei,Berberidaceae,Mahonia,Beale's Barberry
Malope trifida,Malvaceae,Malope,Mallow-wort
Malus baccata,Rosaceae,Malus,Siberian Crabapple
Malva moschata,Malvaceae,Malva,Musk Mallow
